eddafa4de0d1cf6b15b8ecbea68fc4bb884db063,MODIFY,regular-file,README.md,4856,17;29
088054a9fc89d34cba1aa65d8b332dbe6077b941,MODIFY,regular-file,README_multilingual.md,4157,32
40597b01be68e9243f09fee09ff818354856aa67,MODIFY,regular-file,README_ru.md,19713,44;228
77e2357c7322b9d394e0de1e7e88f079bc65b1d7,MODIFY,regular-file,annotators/COMeT/Dockerfile,1257,35
e88b3f5b000d8b103c61ab0adaf1df69384672b0,MODIFY,regular-file,annotators/COMeT/service_configs/comet-conceptnet/environment.yml,405,5-6
4f6a2ad494b5b12ed3ec9c2d78d10da39940fb1a,MODIFY,regular-file,annotators/COMeT/service_configs/comet-conceptnet/service.yml,853,16-17
38ace5a9379f5b95287abfe8227e765694b032e8,MODIFY,regular-file,annotators/DeepPavlovEmotionClassification/bert_float_classifier.py,3237,1
44ede3517d199122bbebac9c28e1fc872c82737b,MODIFY,regular-file,annotators/DeepPavlovFactoidClassification/bert_float_classifier.py,2938,1
7d18d41b26ceeddd4fa21b28c9eda3988f3ce9e8,MODIFY,regular-file,annotators/DeepPavlovSentimentClassification/bert_float_classifier.py,3506,1
d13eb4725873b1043032d7d90dc9a76584193932,MODIFY,regular-file,annotators/DeepPavlovToxicClassification/bert_float_classifier.py,2999,1
372b4e567546808bd3300eabd59954781e81119d,MODIFY,regular-file,annotators/IntentCatcher/Dockerfile,925,24
44187b22103ca5f1d2fbe34db4972e1c6a05a44a,MODIFY,regular-file,annotators/custom_entity_linking/src/entity_linking.py,12138,1
6932c03c3c94151af56f9db01b70abce79ce5b5e,MODIFY,regular-file,annotators/emotion_classification_deepy/bert_float_classifier.py,3156,1
fe178613ea6ec32fb80bcb22fb39c9f5e5f9ff6a,MODIFY,regular-file,annotators/entity_detection_rus/entity_detection_parser.py,10027,1
a64446500336e90683779da33000743b58464684,MODIFY,regular-file,annotators/entity_detection_rus/ner_chunker.py,20989,1
9cc79ecb693a8924aed383adaa6ab9d564d7ecbf,MODIFY,regular-file,annotators/entity_detection_rus/torch_transformers_preprocessor.py,17110,1
92f75c139dfc89bf36c45b098bb0ee567beed053,MODIFY,regular-file,annotators/entity_detection_rus/torch_transformers_sequence_tagger.py,15977,1
89da9f00e923df65b2f4ed8722bb56ec21bb64df,MODIFY,regular-file,annotators/entity_linking/src/entity_linking.py,26933,1
a2689bb76e857471c5c0fec7415d421312903a5d,MODIFY,regular-file,annotators/entity_linking_rus/entity_linking.py,26947,1
463f3875587c34316520026d2876ac3a6d3099f5,MODIFY,regular-file,annotators/entity_linking_rus/torch_transformers_preprocessor.py,2854,1
716d23aef8644df881814405505f70496bc2cdde,MODIFY,regular-file,annotators/fact_random/food_facts.json,336935,1845
92ed3324f1f52d52b9fbcf5b0398e9b306df7f14,MODIFY,regular-file,annotators/fact_retrieval/bpr.py,4321,1
ed00eecfa44b942322b39c2c7c9ad446b32dfa67,MODIFY,regular-file,annotators/fact_retrieval/fact_ranking.py,4773,1
bd9c72ebbbd976efe0ef9062ac9bfe62da2872c3,MODIFY,regular-file,annotators/fact_retrieval/odqa_preprocessors.py,4472,1
46a47ed8d1268aa6d4d59d3b6d9a74ce03ab6ad4,MODIFY,regular-file,annotators/fact_retrieval/pyserini_ranker.py,3272,1
3a8bd80e26749c2adafb3aa7da93d67ddaa4d55e,MODIFY,regular-file,annotators/fact_retrieval/tfidf_ranker.py,4661,1
2c49d0da9f7be4c48e3ba2305546865962902d6b,MODIFY,regular-file,annotators/fact_retrieval/wiki_sqlite.py,2573,1
eee522b94aa1b77fde5dd3b29b7e55a0651d0c30,MODIFY,regular-file,annotators/fact_retrieval_rus/src/cross_att_ranker/torch_transformers_preprocessor.py,3202,1
661c0b59539d0eb844534aa30cceb6bdc69294a0,MODIFY,regular-file,annotators/fact_retrieval_rus/src/filter_docs.py,11015,1
40d285c14d28c91bed47cd1f1c4c1f78071aab43,MODIFY,regular-file,annotators/fact_retrieval_rus/src/ruwiki_db/wiki_sqlite.py,4789,1
5ee8f096f8f7ba9e6e5ed77472d778a4c458548a,MODIFY,regular-file,annotators/fact_retrieval_rus/src/tfidf_ranker/ru_tokenizer_filter.py,6659,1
e6f74da065b35ef6ad42bbc5919f2f37596c7c3f,MODIFY,regular-file,annotators/fact_retrieval_rus/src/tfidf_ranker/tfidf_ranker.py,5949,1
e8923dc0d227969740f16066e9ab481799c9d4ee,MODIFY,regular-file,annotators/kbqa/kbqa_entity_linking.py,23536,1
3ecf8d07fefd4eea8c156bbecd93836e54a577bb,MODIFY,regular-file,annotators/kbqa/query_generator.py,13906,1
32474d499fdd7f0a4239aff92debcd182e38a732,MODIFY,regular-file,annotators/kbqa/query_generator_base.py,16309,1
e2a2b781a0d822347b27f2aa0f258d0a09d1ce70,MODIFY,regular-file,annotators/kbqa/rel_ranking_infer.py,10171,1
232e96f4bba5def4f0abf4d7fd5de11bae231a87,MODIFY,regular-file,annotators/kbqa/torch_transformers_classifier.py,15418,1
be5ca59394f5018f312e8bcb0d4d1bc95610dd0e,MODIFY,regular-file,annotators/kbqa/torch_transformers_preprocessor.py,3362,1
6737b6cc172de1a3e99d1ffb30219d63163c5c21,MODIFY,regular-file,annotators/property_extraction/src/torch_transformers_preprocessor.py,3470,1
4844fa6b846c82a03923f28e25570bb6dae7acfc,MODIFY,regular-file,annotators/speech_function_classifier/service_configs/speech-function-classifier/service.yml,837,39
448e96b2eca16359d1700228153210a8fbd12947,MODIFY,regular-file,annotators/speech_function_predictor/service_configs/speech-function-predictor/service.yml,755,36
bfd869b20ec7b6d5346ddac32d9dba301aa4bed1,MODIFY,regular-file,annotators/wiki_parser/wiki_parser.py,37246,1
df769ff8d522e4adc024219ec1112b65acd8a203,MODIFY,regular-file,assistant_dists/dream_alexa/docker-compose.override.yml,32353,394-395;416-417
e86e3238a245cfbf5bd0d0f45fecffb86b34483d,MODIFY,regular-file,assistant_dists/dream_script_based/docker-compose.override.yml,37556,412-413;434-435
a54b6050c9235de9bfd2b1d3f6b3288b6849c2ad,MODIFY,regular-file,assistant_dists/dream_sfc/docker-compose.override.yml,32781,390-391;412-413
a2b19ae7e4e50278dff8869559fdbf79ee93cb70,MODIFY,regular-file,common/dialogflow_framework/programy/model.py,6643,1
fbf45811e7859f96f5a889a1b0cdd340574c77e8,MODIFY,regular-file,common/dialogflow_framework/programy/text_preprocessing.py,820,1
888aa02f413b570011375efafd1c8b9e67d0ef90,MODIFY,regular-file,common/page_preprocessor.py,6522,1
161699bef5d5713e129596fd585e94a983d80940,MODIFY,regular-file,common/prompts/dream_faq.json,5972,2
cc6e7b8e12cde7e59b8ac75cf9492138c31d1cde,MODIFY,regular-file,services/dialogpt_persona_based/train_script/gpt_persona_v1.ipynb,57666,1024-1025
7e4e5f641c9b1f16ffcc25971de1f7e386bacd18,MODIFY,regular-file,services/text_qa/torch_transformers_squad.py,14700,1
9ee679a46706b77a30333acc01ae9e170de397fc,MODIFY,regular-file,skills/faq_skill_deepy/dp_minimal_demo_dir/faq_config.json,3039,39-40;50-51;66-67;106-107
76696c5657ff926ba7a419d4ef4124d306e2dd9b,MODIFY,regular-file,skills/game_cooperative_skill/utils/programy_extention.py,925,1
af7d13ded0a63b3a3f26e060e152fc30bd12ac63,MODIFY,regular-file,skills/game_cooperative_skill/utils/programy_model.py,1628,1
39d097c37bc6f7642ccb8400d7c5e8ae5d0cf15d,MODIFY,regular-file,skills/short_story_skill/README.md,1732,11
ca99dae01afc4b6a4dfbd6e85ffb1a9c2af07157,MODIFY,regular-file,skills/topicalchat_tfidf_retrieval/Dockerfile,820,8;15
d3a9ff6299da9946adbc34e8b03879d81e528c0c,MODIFY,regular-file,unused_skills.yml,4466,89
